name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
TFMAMA,2022-05-11,218.00,215.00,216.00,208.00,215.00,15554,3327.61,1.00,283.00,153.00,-3.00,-1.38%
THANI,2022-05-11,4.30,4.26,4.28,4.08,4.12,51344874,213375.66,1.00,5.55,3.02,-0.18,-4.19%
THG,2022-05-11,59.00,58.75,58.75,56.50,57.50,5802973,334672.89,1.00,76.50,41.50,-1.50,-2.54%
TIDLOR,2022-05-11,35.25,35.25,35.50,34.75,35.25,7965206,279711.43,3.70,45.75,24.70,0.00,0.00%
TIPH,2022-05-11,61.50,61.75,63.25,61.25,61.25,6844289,425614.30,1.00,79.75,43.25,-0.25,-0.41%
TIPCO,2022-05-11,8.75,8.90,8.90,8.75,8.85,480816,4240.29,1.00,11.30,6.15,+0.10,+1.14%
TISCO,2022-05-11,90.50,90.50,90.50,89.25,89.50,5845269,524540.62,10.00,117.50,63.50,-1.00,-1.10%
TK,2022-05-11,10.30,11.00,11.30,10.60,10.60,3388577,36955.21,1.00,13.30,7.25,+0.30,+2.91%
TKN,2022-05-11,7.45,7.45,7.50,7.35,7.35,842435,6241.16,0.25,9.65,5.25,-0.10,-1.34%
TKS,2022-05-11,11.70,11.70,11.70,11.20,11.30,3298956,37612.39,1.00,15.20,8.20,-0.40,-3.42%
TMT,2022-05-11,9.95,9.95,9.95,9.80,9.85,349848,3438.02,1.00,12.90,7.00,-0.10,-1.01%
TMW,2022-05-11,34.00,33.25,34.00,33.25,33.25,4100,136.68,5.00,44.00,23.80,-0.75,-2.21%
TOA,2022-05-11,27.75,27.75,27.75,26.75,26.75,836296,22573.05,1.00,36.00,19.50,-1.00,-3.60%
TOP,2022-05-11,58.00,57.25,57.75,56.00,57.00,15036933,852316.70,10.00,75.25,40.75,-1.00,-1.72%
TPIPL,2022-05-11,1.47,1.47,1.48,1.44,1.46,5529008,8063.64,1.00,1.91,1.03,-0.01,-0.68%
TPIPP,2022-05-11,3.66,3.64,3.66,3.58,3.62,5836740,21099.68,1.00,4.74,2.58,-0.04,-1.09%
TQM,2022-05-11,44.75,44.50,45.00,44.00,44.50,2602816,115800.42,0.50,58.00,31.50,-0.25,-0.56%
TR,2022-05-11,48.00,47.75,48.25,47.25,47.75,12900,613.90,1.00,62.25,33.75,-0.25,-0.52%
TRUE,2022-05-11,4.42,4.38,4.44,4.32,4.34,100666455,440329.92,4.00,5.70,3.10,-0.08,-1.81%
TSE,2022-05-11,2.14,2.14,2.16,2.12,2.12,1268301,2704.34,1.00,2.78,1.50,-0.02,-0.93%
TSTH,2022-05-11,1.35,1.36,1.36,1.33,1.34,6574602,8857.76,1.00,1.75,0.95,-0.01,-0.74%
TTA,2022-05-11,9.95,10.00,10.10,9.60,9.75,24067793,236839.59,1.00,12.90,7.00,-0.20,-2.01%
TTB,2022-05-11,1.31,1.31,1.31,1.29,1.31,515890477,669290.63,0.95,1.70,0.92,0.00,0.00%
